Modulo     numVals   Nullopts    std[s]   tiny[s]  std/tiny
  8192           1          0    31.884     35.62    0.8951
  8192           2          0    21.708    20.647     1.051
  8192           3          0    23.561     22.49     1.048
  8192           4          0     20.31    21.566    0.9418
  8192           8          0    22.755    23.495    0.9685
  8192          32          0    15.418    16.265    0.9479
  8192         128          0    18.884    17.697     1.067
  8192         512          0    15.171    15.192    0.9986
  8192        1024          0    20.486    13.913     1.472
  8192        2048          0    17.989    14.523     1.239
  8192        4096          0    24.994     17.48      1.43
  8192        8192          0    23.467    19.142     1.226
  8192       16384   8.14e-05    30.883    24.867     1.242
  8192       32768   0.000132    31.623    20.124     1.571
  8192       65536   0.000127    30.429      16.3     1.867
  8192       80000   0.000146    29.946     18.34     1.633
  8192       98304   0.000119    36.461    20.155     1.809
  8192      110000   0.000118     38.26    20.275     1.887
  8192      131072   0.000122    43.186    20.362     2.121
  8192      196608   0.000132    62.219    25.273     2.462
  8192      262144   0.000123    55.715    23.886     2.333
  8192      393216   0.000131    78.083    31.986     2.441
  8192      524288   0.000135    62.341     34.52     1.806
  8192      786432   0.000126    55.636    27.179     2.047
  8192     1048576   0.000131    28.454    14.959     1.902
  8192     2097152   0.000133    27.638    15.302     1.806
  8192     5000000   0.000127    31.774    15.839     2.006
  8192    10000000   0.000126     24.68    13.352     1.848
