Modulo     numVals   Nullopts    std[s]   tiny[s]  std/tiny
  8192           1          0    28.558    29.119    0.9807
  8192           2          0    17.726    17.148     1.034
  8192           3          0    19.725    18.998     1.038
  8192           4          0    16.634    13.922     1.195
  8192           8          0    19.674    18.025     1.091
  8192          32          0     14.75     13.45     1.097
  8192         128          0    15.907    16.202    0.9818
  8192         512          0    11.887    12.215    0.9731
  8192        1024          0    16.442     11.44     1.437
  8192        2048          0    16.915    11.386     1.486
  8192        4096          0    21.966    15.429     1.424
  8192        8192          0     23.03     15.59     1.477
  8192       16384   8.14e-05    31.182    17.913     1.741
  8192       32768   0.000132    32.354    17.974       1.8
  8192       65536   0.000127    30.496    16.172     1.886
  8192       80000   0.000146    32.565    18.273     1.782
  8192       98304   0.000119    40.278    19.418     2.074
  8192      110000   0.000118    53.023    17.301     3.065
  8192      131072   0.000122    43.541    17.405     2.502
  8192      196608   0.000132    73.419    26.167     2.806
  8192      262144   0.000123    57.691    22.658     2.546
  8192      393216   0.000131    71.078    31.703     2.242
  8192      524288   0.000135     61.95    29.645      2.09
  8192      786432   0.000126    49.395    24.382     2.026
  8192     1048576   0.000131    26.738    13.337     2.005
  8192     2097152   0.000133    25.599    13.279     1.928
  8192     5000000   0.000127    30.954    16.618     1.863
  8192    10000000   0.000126    24.696    13.334     1.852
