Modulo     numVals   Nullopts    std[s]   tiny[s]  std/tiny
  8192           1          0    26.501    22.201     1.194
  8192           2          0     16.63     13.28     1.252
  8192           3          0    20.343    16.231     1.253
  8192           4          0    17.334    13.173     1.316
  8192           8          0    21.608    16.489      1.31
  8192          32          0    12.928    12.163     1.063
  8192         128          0    12.677    12.579     1.008
  8192         512          0    12.324    10.934     1.127
  8192        1024          0    14.057    10.959     1.283
  8192        2048          0    12.824    10.648     1.204
  8192        4096          0    15.428    11.862     1.301
  8192        8192          0    19.511    11.943     1.634
  8192       16384   8.14e-05    25.633    17.279     1.483
  8192       32768   0.000132     25.66    16.823     1.525
  8192       65536   0.000127    20.405    13.354     1.528
  8192       80000   0.000146    22.113    14.325     1.544
  8192       98304   0.000119    25.381    14.937     1.699
  8192      110000   0.000118    26.462    14.834     1.784
  8192      131072   0.000122    31.844    13.934     2.285
  8192      196608   0.000132    50.365    17.422     2.891
  8192      262144   0.000123    51.178    18.918     2.705
  8192      393216   0.000131    61.371    26.752     2.294
  8192      524288   0.000135    55.247    26.814      2.06
  8192      786432   0.000126    41.798     21.32     1.961
  8192     1048576   0.000131    22.467    11.673     1.925
  8192     2097152   0.000133    22.718    11.796     1.926
  8192     5000000   0.000127    27.275    14.261     1.913
  8192    10000000   0.000126    21.831    11.302     1.931
